Customer_ID,Customer_Name,Gender,Age,City,State,Signup_Date,Customer_Segment
CUST00030,Customer 00030,Male,36,Delhi,Delhi,2022-07-29,Regular
CUST00031,Customer 00031,Female,60,Madurai,Tamil Nadu,2023-09-16,Regular
CUST00032,Customer 00032,Female,64,Mumbai,Maharashtra,2025-03-11,New
CUST00033,Customer 00033,Male,33,Hyderabad,Telangana,2022-06-22,Regular
CUST00034,Customer 00034,Female,52,Mumbai,Maharashtra,2023-03-23,VIP
CUST00035,Customer 00035,Female,28,Kolkata,West Bengal,2025-02-16,Regular
CUST00036,Customer 00036,Male,28,Hyderabad,Telangana,2022-01-11,New
CUST00037,Customer 00037,Female,27,Madurai,Tamil Nadu,2024-01-31,VIP
CUST00038,Customer 00038,Male,51,Kolkata,West Bengal,2025-08-20,Regular
CUST00039,Customer 00039,Female,22,Bengaluru,Karnataka,2025-03-23,Regular
CUST00040,Customer 00040,Male,40,Delhi,Delhi,2022-11-19,New
CUST00041,Customer 00041,Female,42,Madurai,Tamil Nadu,2026-04-10,Regular
CUST00042,Customer 00042,Male,46,Bengaluru,Karnataka,2024-09-03,Regular
CUST00043,Customer 00043,Female,57,Ahmedabad,Gujarat,2023-03-21,VIP
CUST00044,Customer 00044,Male,30,Madurai,Tamil Nadu,2022-12-08,Regular
CUST00045,Customer 00045,Female,64,Ahmedabad,Gujarat,2022-08-09,Regular
CUST00046,Customer 00046,Female,49,Hyderabad,Telangana,2022-04-20,VIP
CUST00047,Customer 00047,Male,51,Bengaluru,Karnataka,2023-02-14,VIP
CUST00048,Customer 00048,Female,29,Delhi,Delhi,2025-12-12,New
CUST00049,Customer 00049,Male,41,Kolkata,West Bengal,2023-05-20,Loyal
CUST00050,Customer 00050,Female,57,Coimbatore,Tamil Nadu,2022-02-09,Regular
CUST00051,Customer 00051,Female,38,Mumbai,Maharashtra,2026-03-13,Regular
CUST00052,Customer 00052,Female,46,Chennai,Tamil Nadu,2026-01-22,Regular
CUST00053,Customer 00053,Female,40,Delhi,Delhi,2022-09-20,Regular
CUST00054,Customer 00054,Male,50,Bengaluru,Karnataka,2025-02-15,New
CUST00055,Customer 00055,Male,25,Coimbatore,Tamil Nadu,2026-01-13,Regular
CUST00056,Customer 00056,Male,59,Delhi,Delhi,2025-12-08,Regular
CUST00057,Customer 00057,Female,30,Bengaluru,Karnataka,2023-12-09,New
CUST00058,Customer 00058,Male,22,Pune,Maharashtra,2024-04-02,Regular
CUST00059,Customer 00059,Female,58,Pune,Maharashtra,2026-03-30,VIP
CUST00060,Customer 00060,Female,27,Ahmedabad,Gujarat,2023-04-06,Loyal
CUST00061,Customer 00061,Male,31,Delhi,Delhi,2025-02-15,Regular
CUST00062,Customer 00062,Female,41,Pune,Maharashtra,2022-08-05,Loyal
CUST00063,Customer 00063,Male,28,Bengaluru,Karnataka,2022-03-18,Regular
CUST00064,Customer 00064,Male,63,Ahmedabad,Gujarat,2025-12-15,New
CUST00065,Customer 00065,Female,20,Bengaluru,Karnataka,2024-06-10,Regular
CUST00066,Customer 00066,Male,46,Ahmedabad,Gujarat,2025-04-10,New
CUST00067,Customer 00067,Male,65,Delhi,Delhi,2023-01-25,Loyal
CUST00068,Customer 00068,Female,47,Coimbatore,Tamil Nadu,2024-11-15,VIP
CUST00069,Customer 00069,Male,54,Kolkata,West Bengal,2025-02-25,Regular
CUST00070,Customer 00070,Other,24,Madurai,Tamil Nadu,2023-01-09,Regular
CUST00071,Customer 00071,Other,34,Coimbatore,Tamil Nadu,2023-10-16,Regular
CUST00072,Customer 00072,Male,37,Hyderabad,Telangana,2024-06-22,Regular
CUST00073,Customer 00073,Male,28,Bengaluru,Karnataka,2024-11-13,Loyal
CUST00074,Customer 00074,Female,61,Hyderabad,Telangana,2026-02-02,Regular
CUST00075,Customer 00075,Male,42,Coimbatore,Tamil Nadu,2024-01-14,New
CUST00076,Customer 00076,Male,41,Ahmedabad,Gujarat,2023-02-27,Loyal
CUST00077,Customer 00077,Female,19,Madurai,Tamil Nadu,2025-04-15,New
CUST00078,Customer 00078,Male,44,Madurai,Tamil Nadu,2024-05-02,VIP
CUST00079,Customer 00079,Female,36,Chennai,Tamil Nadu,2024-04-10,Regular
CUST00080,Customer 00080,Male,46,Madurai,Tamil Nadu,2026-04-11,Regular
CUST00081,Customer 00081,Male,54,Kolkata,West Bengal,2025-07-13,New
CUST00082,Customer 00082,Male,28,Madurai,Tamil Nadu,2024-08-30,Regular
CUST00083,Customer 00083,Other,36,Coimbatore,Tamil Nadu,2023-09-21,Loyal
CUST00084,Customer 00084,Female,45,Chennai,Tamil Nadu,2023-07-24,Regular
CUST00085,Customer 00085,Female,56,Coimbatore,Tamil Nadu,2025-07-17,Loyal
CUST00086,Customer 00086,Male,38,Coimbatore,Tamil Nadu,2025-09-14,Regular
CUST00087,Customer 00087,Male,43,Mumbai,Maharashtra,2026-01-18,Loyal
CUST00088,Customer 00088,Male,39,Chennai,Tamil Nadu,2025-08-11,VIP
CUST00089,Customer 00089,Female,23,Coimbatore,Tamil Nadu,2022-05-02,Regular
CUST00090,Customer 00090,Female,28,Mumbai,Maharashtra,2022-06-08,Regular
CUST00091,Customer 00091,Female,31,Mumbai,Maharashtra,2025-04-16,Loyal
CUST00092,Customer 00092,Male,53,Chennai,Tamil Nadu,2025-09-13,New
CUST00093,Customer 00093,Female,57,Hyderabad,Telangana,2022-11-03,Loyal
CUST00094,Customer 00094,Male,58,Ahmedabad,Gujarat,2025-01-17,Regular
CUST00095,Customer 00095,Other,19,Kolkata,West Bengal,2024-01-21,Loyal
CUST00096,Customer 00096,Male,60,Ahmedabad,Gujarat,2024-11-27,New
CUST00097,Customer 00097,Female,37,Madurai,Tamil Nadu,2023-08-14,Loyal
CUST00098,Customer 00098,Male,39,Kolkata,West Bengal,2022-12-12,Regular
CUST00099,Customer 00099,Male,56,Madurai,Tamil Nadu,2025-06-29,Loyal
CUST00100,Customer 00100,Female,21,Coimbatore,Tamil Nadu,2022-05-29,Regular
CUST00101,Customer 00101,Male,46,Bengaluru,Karnataka,2024-11-05,Regular
CUST00102,Customer 00102,Male,63,Chennai,Tamil Nadu,2025-10-22,VIP
CUST00103,Customer 00103,Female,41,Kolkata,West Bengal,2024-04-14,Loyal
CUST00104,Customer 00104,Female,18,Kolkata,West Bengal,2024-02-20,VIP
CUST00105,Customer 00105,Female,41,Coimbatore,Tamil Nadu,2022-04-28,Regular
CUST00106,Customer 00106,Male,47,Hyderabad,Telangana,2023-12-05,Regular
CUST00107,Customer 00107,Female,29,Mumbai,Maharashtra,2022-11-13,Regular
CUST00108,Customer 00108,Female,36,Coimbatore,Tamil Nadu,2022-10-15,Regular
CUST00109,Customer 00109,Male,54,Pune,Maharashtra,2024-06-26,New
CUST00110,Customer 00110,Female,57,Mumbai,Maharashtra,2025-10-06,Regular
CUST00111,Customer 00111,Male,60,Chennai,Tamil Nadu,2022-10-24,Loyal
CUST00112,Customer 00112,Male,21,Mumbai,Maharashtra,2025-05-02,Regular
CUST00113,Customer 00113,Male,32,Hyderabad,Telangana,2025-11-16,VIP
CUST00114,Customer 00114,Male,37,Mumbai,Maharashtra,2023-03-19,New
CUST00115,Customer 00115,Female,61,Chennai,Tamil Nadu,2025-07-28,VIP
CUST00116,Customer 00116,Female,37,Hyderabad,Telangana,2024-06-19,Regular
CUST00117,Customer 00117,Female,38,Ahmedabad,Gujarat,2022-10-28,Loyal
CUST00118,Customer 00118,Female,27,Kolkata,West Bengal,2024-06-16,Regular
CUST00119,Customer 00119,Male,47,Kolkata,West Bengal,2023-03-02,Loyal
CUST00120,Customer 00120,Female,41,Madurai,Tamil Nadu,2022-09-07,Regular
CUST00121,Customer 00121,Female,65,Ahmedabad,Gujarat,2026-03-19,Regular
CUST00122,Customer 00122,Male,57,Ahmedabad,Gujarat,2023-11-17,New
CUST00123,Customer 00123,Female,57,Mumbai,Maharashtra,2024-01-22,Regular
CUST00124,Customer 00124,Other,55,Kolkata,West Bengal,2024-09-24,Loyal
CUST00125,Customer 00125,Female,20,Chennai,Tamil Nadu,2023-02-10,New
CUST00126,Customer 00126,Female,46,Delhi,Delhi,2024-03-11,Loyal
CUST00127,Customer 00127,Male,25,Delhi,Delhi,2022-09-01,New
CUST00128,Customer 00128,Male,46,Hyderabad,Telangana,2023-01-02,Loyal
CUST00129,Customer 00129,Male,27,Kolkata,West Bengal,2022-04-30,VIP
CUST00130,Customer 00130,Female,22,Kolkata,West Bengal,2024-04-29,Regular
CUST00131,Customer 00131,Female,28,Delhi,Delhi,2026-01-03,New
CUST00132,Customer 00132,Other,21,Kolkata,West Bengal,2026-03-08,Regular
CUST00133,Customer 00133,Male,52,Mumbai,Maharashtra,2023-03-09,New
CUST00134,Customer 00134,Male,57,Pune,Maharashtra,2022-07-02,Regular
CUST00135,Customer 00135,Female,29,Bengaluru,Karnataka,2026-01-24,Regular
CUST00136,Customer 00136,Female,38,Ahmedabad,Gujarat,2024-01-29,Regular
CUST00137,Customer 00137,Male,33,Madurai,Tamil Nadu,2025-02-15,New
CUST00138,Customer 00138,Female,31,Hyderabad,Telangana,2022-01-31,New
CUST00139,Customer 00139,Female,38,Pune,Maharashtra,2024-09-03,New
CUST00140,Customer 00140,Female,65,Delhi,Delhi,2025-03-18,Regular
CUST00141,Customer 00141,Female,44,Ahmedabad,Gujarat,2023-06-12,Regular
CUST00142,Customer 00142,Male,53,Kolkata,West Bengal,2025-07-20,New
CUST00143,Customer 00143,Other,18,Madurai,Tamil Nadu,2024-05-13,Regular
CUST00144,Customer 00144,Female,18,Kolkata,West Bengal,2025-11-09,Loyal
CUST00145,Customer 00145,Male,39,Chennai,Tamil Nadu,2022-04-12,Regular
CUST00146,Customer 00146,Male,32,Chennai,Tamil Nadu,2024-12-31,Loyal
CUST00147,Customer 00147,Female,37,Madurai,Tamil Nadu,2023-09-15,Regular
CUST00148,Customer 00148,Male,20,Madurai,Tamil Nadu,2024-03-15,New
CUST00149,Customer 00149,Male,31,Delhi,Delhi,2023-02-12,Regular
CUST00150,Customer 00150,Female,26,Madurai,Tamil Nadu,2025-10-02,Regular
CUST00151,Customer 00151,Male,36,Mumbai,Maharashtra,2025-10-22,Loyal
CUST00152,Customer 00152,Female,57,Kolkata,West Bengal,2024-04-09,Regular
CUST00153,Customer 00153,Male,51,Pune,Maharashtra,2024-02-28,VIP
CUST00154,Customer 00154,Female,21,Coimbatore,Tamil Nadu,2023-09-10,Regular
CUST00155,Customer 00155,Male,50,Madurai,Tamil Nadu,2023-07-03,Regular
CUST00156,Customer 00156,Male,60,Hyderabad,Telangana,2022-10-18,New
CUST00157,Customer 00157,Male,54,Chennai,Tamil Nadu,2023-02-26,New
CUST00158,Customer 00158,Female,19,Mumbai,Maharashtra,2022-06-30,Regular
CUST00159,Customer 00159,Female,44,Ahmedabad,Gujarat,2023-10-17,Regular
CUST00160,Customer 00160,Male,62,Coimbatore,Tamil Nadu,2022-04-24,Loyal
CUST00161,Customer 00161,Female,34,Pune,Maharashtra,2025-06-15,Loyal
CUST00162,Customer 00162,Female,48,Coimbatore,Tamil Nadu,2025-01-22,New
CUST00163,Customer 00163,Other,58,Madurai,Tamil Nadu,2022-09-17,Regular
CUST00164,Customer 00164,Male,23,Delhi,Delhi,2025-02-04,New
CUST00165,Customer 00165,Female,48,Chennai,Tamil Nadu,2022-09-01,Regular
CUST00166,Customer 00166,Male,20,Chennai,Tamil Nadu,2023-02-27,Loyal
CUST00167,Customer 00167,Male,57,Ahmedabad,Gujarat,2022-12-01,Regular
CUST00168,Customer 00168,Other,20,Delhi,Delhi,2024-11-12,Loyal
CUST00169,Customer 00169,Female,50,Kolkata,West Bengal,2022-09-28,VIP
CUST00170,Customer 00170,Male,30,Bengaluru,Karnataka,2025-03-09,Regular
CUST00171,Customer 00171,Male,38,Mumbai,Maharashtra,2026-01-29,New
CUST00172,Customer 00172,Female,54,Chennai,Tamil Nadu,2023-03-30,Regular
CUST00173,Customer 00173,Female,33,Hyderabad,Telangana,2025-11-08,New
CUST00174,Customer 00174,Male,38,Chennai,Tamil Nadu,2023-08-17,Regular
CUST00175,Customer 00175,Female,65,Coimbatore,Tamil Nadu,2025-11-01,Loyal
CUST00176,Customer 00176,Male,61,Chennai,Tamil Nadu,2024-10-06,Regular
CUST00177,Customer 00177,Male,30,Chennai,Tamil Nadu,2026-01-01,Loyal
CUST00178,Customer 00178,Female,21,Bengaluru,Karnataka,2024-05-05,Loyal
CUST00179,Customer 00179,Male,48,Bengaluru,Karnataka,2025-12-16,Loyal
CUST00180,Customer 00180,Male,26,Pune,Maharashtra,2025-03-25,Regular
CUST00181,Customer 00181,Female,65,Kolkata,West Bengal,2025-09-20,Loyal
CUST00182,Customer 00182,Female,50,Hyderabad,Telangana,2026-04-04,Regular
CUST00183,Customer 00183,Male,54,Chennai,Tamil Nadu,2022-05-12,Regular
CUST00184,Customer 00184,Female,54,Chennai,Tamil Nadu,2024-02-07,VIP
CUST00185,Customer 00185,Female,41,Mumbai,Maharashtra,2023-05-16,VIP
CUST00186,Customer 00186,Male,42,Bengaluru,Karnataka,2026-03-26,Regular
CUST00187,Customer 00187,Female,58,Hyderabad,Telangana,2025-03-09,Loyal
CUST00188,Customer 00188,Male,46,Ahmedabad,Gujarat,2022-05-15,Regular
CUST00189,Customer 00189,Male,57,Pune,Maharashtra,2024-02-06,Regular
CUST00190,Customer 00190,Female,64,Kolkata,West Bengal,2024-03-22,New
CUST00191,Customer 00191,Other,53,Delhi,Delhi,2025-12-01,Regular
CUST00192,Customer 00192,Male,32,Kolkata,West Bengal,2024-02-09,Regular
CUST00193,Customer 00193,Male,62,Coimbatore,Tamil Nadu,2022-04-04,New
CUST00194,Customer 00194,Female,35,Chennai,Tamil Nadu,2025-06-18,Regular
CUST00195,Customer 00195,Male,37,Pune,Maharashtra,2022-06-14,New
CUST00196,Customer 00196,Male,22,Coimbatore,Tamil Nadu,2022-11-21,New
CUST00197,Customer 00197,Male,35,Hyderabad,Telangana,2025-05-26,Regular
CUST00198,Customer 00198,Female,57,Delhi,Delhi,2024-07-28,Regular
CUST00199,Customer 00199,Male,18,Bengaluru,Karnataka,2023-09-12,Regular
CUST00200,Customer 00200,Male,36,Pune,Maharashtra,2022-08-19,Regular
CUST00201,Customer 00201,Female,40,Pune,Maharashtra,2023-08-05,Regular
CUST00202,Customer 00202,Female,43,Chennai,Tamil Nadu,2024-01-03,New
CUST00203,Customer 00203,Female,46,Madurai,Tamil Nadu,2025-04-17,Regular
CUST00204,Customer 00204,Male,51,Pune,Maharashtra,2025-01-08,Loyal
CUST00205,Customer 00205,Female,36,Mumbai,Maharashtra,2025-10-09,New
CUST00206,Customer 00206,Male,65,Delhi,Delhi,2023-11-02,Regular
CUST00207,Customer 00207,Male,35,Delhi,Delhi,2025-03-30,New
CUST00208,Customer 00208,Female,19,Mumbai,Maharashtra,2025-12-21,Regular
CUST00209,Customer 00209,Male,44,Ahmedabad,Gujarat,2023-02-07,Regular
CUST00210,Customer 00210,Male,23,Mumbai,Maharashtra,2024-11-21,VIP
CUST00211,Customer 00211,Male,56,Mumbai,Maharashtra,2022-05-01,Regular
CUST00212,Customer 00212,Male,23,Delhi,Delhi,2023-12-28,Regular
CUST00213,Customer 00213,Male,23,Kolkata,West Bengal,2026-03-19,Regular
CUST00214,Customer 00214,Other,48,Delhi,Delhi,2023-01-20,New
CUST00215,Customer 00215,Male,58,Madurai,Tamil Nadu,2025-12-19,VIP
CUST00216,Customer 00216,Male,57,Chennai,Tamil Nadu,2023-04-21,Regular
CUST00217,Customer 00217,Male,47,Coimbatore,Tamil Nadu,2023-07-14,New
CUST00218,Customer 00218,Female,38,Kolkata,West Bengal,2025-04-05,Regular
CUST00219,Customer 00219,Female,58,Bengaluru,Karnataka,2023-01-24,Regular
CUST00220,Customer 00220,Male,61,Coimbatore,Tamil Nadu,2025-09-18,New
CUST00221,Customer 00221,Female,35,Chennai,Tamil Nadu,2026-03-27,Regular
CUST00222,Customer 00222,Male,40,Madurai,Tamil Nadu,2024-02-29,Regular
CUST00223,Customer 00223,Male,55,Madurai,Tamil Nadu,2024-01-23,Regular
CUST00224,Customer 00224,Male,40,Bengaluru,Karnataka,2026-02-03,New
CUST00225,Customer 00225,Male,45,Kolkata,West Bengal,2023-12-05,VIP
CUST00226,Customer 00226,Male,53,Ahmedabad,Gujarat,2026-03-28,New
CUST00227,Customer 00227,Female,42,Mumbai,Maharashtra,2022-02-22,Regular
CUST00228,Customer 00228,Male,24,Kolkata,West Bengal,2023-07-21,Loyal
CUST00229,Customer 00229,Female,35,Ahmedabad,Gujarat,2024-03-31,New
CUST00230,Customer 00230,Male,37,Madurai,Tamil Nadu,2024-11-10,New
CUST00231,Customer 00231,Male,22,Delhi,Delhi,2024-11-08,New
CUST00232,Customer 00232,Male,35,Chennai,Tamil Nadu,2024-05-11,New
CUST00233,Customer 00233,Female,59,Bengaluru,Karnataka,2026-01-19,New
CUST00234,Customer 00234,Male,57,Chennai,Tamil Nadu,2022-11-18,Regular
CUST00235,Customer 00235,Female,50,Hyderabad,Telangana,2024-04-06,Regular
CUST00236,Customer 00236,Male,32,Hyderabad,Telangana,2023-03-09,Regular
CUST00237,Customer 00237,Male,52,Kolkata,West Bengal,2024-12-18,New
CUST00238,Customer 00238,Male,64,Madurai,Tamil Nadu,2025-03-20,Loyal
CUST00239,Customer 00239,Male,63,Madurai,Tamil Nadu,2026-01-03,New
CUST00240,Customer 00240,Male,18,Mumbai,Maharashtra,2022-02-27,Regular
CUST00241,Customer 00241,Male,38,Mumbai,Maharashtra,2024-10-14,New
CUST00242,Customer 00242,Female,25,Mumbai,Maharashtra,2026-05-17,New
CUST00243,Customer 00243,Male,24,Delhi,Delhi,2024-01-21,Regular
CUST00244,Customer 00244,Female,58,Coimbatore,Tamil Nadu,2025-08-09,Regular
CUST00245,Customer 00245,Male,61,Pune,Maharashtra,2022-07-01,Regular
CUST00246,Customer 00246,Female,57,Coimbatore,Tamil Nadu,2023-08-30,Regular
CUST00247,Customer 00247,Female,57,Chennai,Tamil Nadu,2025-01-06,VIP
CUST00248,Customer 00248,Male,47,Coimbatore,Tamil Nadu,2024-08-18,Regular
CUST00249,Customer 00249,Male,55,Delhi,Delhi,2022-04-15,Regular
CUST00250,Customer 00250,Female,52,Chennai,Tamil Nadu,2025-07-08,New
CUST00251,Customer 00251,Female,19,Coimbatore,Tamil Nadu,2023-08-30,New
CUST00252,Customer 00252,Male,63,Delhi,Delhi,2025-05-31,Regular
CUST00253,Customer 00253,Male,25,Pune,Maharashtra,2024-09-16,Regular
CUST00254,Customer 00254,Female,55,Coimbatore,Tamil Nadu,2023-04-29,Regular
CUST00255,Customer 00255,Male,21,Delhi,Delhi,2022-05-09,New
CUST00256,Customer 00256,Female,54,Mumbai,Maharashtra,2022-11-15,Loyal
CUST00257,Customer 00257,Male,38,Madurai,Tamil Nadu,2023-12-08,VIP
CUST00258,Customer 00258,Male,30,Mumbai,Maharashtra,2023-05-24,Regular
CUST00259,Customer 00259,Female,26,Madurai,Tamil Nadu,2022-01-20,Loyal
CUST00260,Customer 00260,Female,62,Bengaluru,Karnataka,2024-01-22,Loyal
CUST00261,Customer 00261,Male,46,Bengaluru,Karnataka,2022-08-23,VIP
CUST00262,Customer 00262,Male,58,Bengaluru,Karnataka,2023-08-29,Regular
CUST00263,Customer 00263,Female,41,Pune,Maharashtra,2023-07-08,Loyal
CUST00264,Customer 00264,Female,33,Mumbai,Maharashtra,2025-10-05,New
CUST00265,Customer 00265,Male,29,Madurai,Tamil Nadu,2023-03-29,Regular
CUST00266,Customer 00266,Female,19,Delhi,Delhi,2023-08-09,Loyal
CUST00267,Customer 00267,Female,36,Chennai,Tamil Nadu,2024-09-10,Loyal
CUST00268,Customer 00268,Female,47,Delhi,Delhi,2026-03-13,New
CUST00269,Customer 00269,Female,33,Chennai,Tamil Nadu,2023-02-27,Loyal
CUST00270,Customer 00270,Male,41,Hyderabad,Telangana,2025-04-28,Regular
CUST00271,Customer 00271,Female,30,Delhi,Delhi,2025-02-22,New
CUST00272,Customer 00272,Female,22,Coimbatore,Tamil Nadu,2022-01-06,Regular
CUST00273,Customer 00273,Male,40,Coimbatore,Tamil Nadu,2023-04-03,Loyal
CUST00274,Customer 00274,Male,55,Kolkata,West Bengal,2023-07-08,VIP
CUST00275,Customer 00275,Male,48,Mumbai,Maharashtra,2026-05-13,Loyal
CUST00276,Customer 00276,Female,34,Chennai,Tamil Nadu,2023-06-06,New
CUST00277,Customer 00277,Male,20,Chennai,Tamil Nadu,2025-01-17,New
CUST00278,Customer 00278,Female,43,Mumbai,Maharashtra,2024-04-25,New
CUST00279,Customer 00279,Female,30,Pune,Maharashtra,2025-02-08,New
CUST00280,Customer 00280,Female,61,Kolkata,West Bengal,2023-07-05,Regular
CUST00281,Customer 00281,Female,55,Pune,Maharashtra,2025-11-21,Regular
CUST00282,Customer 00282,Other,39,Pune,Maharashtra,2022-01-11,New
CUST00283,Customer 00283,Male,38,Pune,Maharashtra,2023-05-12,Loyal
CUST00284,Customer 00284,Female,46,Mumbai,Maharashtra,2024-11-05,Regular
CUST00285,Customer 00285,Male,62,Pune,Maharashtra,2024-11-22,Loyal
CUST00286,Customer 00286,Female,63,Coimbatore,Tamil Nadu,2024-01-15,Regular
CUST00287,Customer 00287,Male,56,Bengaluru,Karnataka,2023-05-04,Regular
CUST00288,Customer 00288,Other,22,Hyderabad,Telangana,2025-04-26,Regular
CUST00289,Customer 00289,Female,31,Chennai,Tamil Nadu,2024-01-06,Regular
CUST00290,Customer 00290,Female,35,Chennai,Tamil Nadu,2026-05-14,Regular
CUST00291,Customer 00291,Male,21,Hyderabad,Telangana,2023-04-03,Regular
CUST00292,Customer 00292,Male,50,Mumbai,Maharashtra,2024-12-10,Loyal
CUST00293,Customer 00293,Female,56,Delhi,Delhi,2025-07-18,Loyal
CUST00294,Customer 00294,Male,37,Mumbai,Maharashtra,2023-04-09,Regular
CUST00295,Customer 00295,Female,30,Chennai,Tamil Nadu,2022-02-12,New
CUST00296,Customer 00296,Male,53,Chennai,Tamil Nadu,2023-06-23,VIP
CUST00297,Customer 00297,Female,62,Hyderabad,Telangana,2023-07-22,Loyal
CUST00298,Customer 00298,Male,21,Pune,Maharashtra,2022-05-01,Regular
CUST00299,Customer 00299,Female,52,Mumbai,Maharashtra,2023-09-17,Loyal
CUST00300,Customer 00300,Female,25,Madurai,Tamil Nadu,2022-11-12,New
CUST00301,Customer 00301,Male,57,Hyderabad,Telangana,2024-10-18,New
CUST00302,Customer 00302,Male,64,Coimbatore,Tamil Nadu,2025-02-12,New
CUST00303,Customer 00303,Male,53,Chennai,Tamil Nadu,2023-09-13,New
CUST00304,Customer 00304,Female,23,Hyderabad,Telangana,2023-03-30,Regular
CUST00305,Customer 00305,Female,39,Mumbai,Maharashtra,2023-11-18,New
CUST00306,Customer 00306,Female,23,Chennai,Tamil Nadu,2023-09-16,Loyal
CUST00307,Customer 00307,Female,59,Delhi,Delhi,2023-09-04,Regular
CUST00308,Customer 00308,Male,53,Hyderabad,Telangana,2026-03-24,Regular
CUST00309,Customer 00309,Male,26,Kolkata,West Bengal,2024-08-16,New
CUST00310,Customer 00310,Male,33,Chennai,Tamil Nadu,2023-10-09,Regular
CUST00311,Customer 00311,Male,56,Mumbai,Maharashtra,2024-02-02,New
CUST00312,Customer 00312,Other,63,Bengaluru,Karnataka,2025-09-22,Loyal
CUST00313,Customer 00313,Female,55,Madurai,Tamil Nadu,2022-08-28,Loyal
CUST00314,Customer 00314,Male,50,Ahmedabad,Gujarat,2024-01-04,Regular
CUST00315,Customer 00315,Female,35,Pune,Maharashtra,2025-11-10,New
CUST00316,Customer 00316,Female,29,Ahmedabad,Gujarat,2025-03-14,Loyal
CUST00317,Customer 00317,Male,44,Mumbai,Maharashtra,2023-01-12,Regular
CUST00318,Customer 00318,Male,64,Coimbatore,Tamil Nadu,2022-01-04,New
CUST00319,Customer 00319,Male,18,Coimbatore,Tamil Nadu,2024-03-04,Regular
CUST00320,Customer 00320,Female,32,Bengaluru,Karnataka,2024-04-25,Loyal
CUST00321,Customer 00321,Other,64,Pune,Maharashtra,2025-09-13,Regular
CUST00322,Customer 00322,Female,44,Kolkata,West Bengal,2022-07-16,Loyal
CUST00323,Customer 00323,Male,33,Bengaluru,Karnataka,2023-01-24,New
CUST00324,Customer 00324,Male,38,Ahmedabad,Gujarat,2022-09-18,New
CUST00325,Customer 00325,Female,18,Bengaluru,Karnataka,2023-08-26,Regular
CUST00326,Customer 00326,Female,46,Ahmedabad,Gujarat,2022-04-04,New
CUST00327,Customer 00327,Female,20,Chennai,Tamil Nadu,2025-07-04,Regular
CUST00328,Customer 00328,Female,29,Coimbatore,Tamil Nadu,2022-05-16,New
CUST00329,Customer 00329,Male,45,Chennai,Tamil Nadu,2023-06-09,Regular
CUST00330,Customer 00330,Female,56,Madurai,Tamil Nadu,2023-05-13,Regular
CUST00331,Customer 00331,Female,54,Pune,Maharashtra,2025-04-16,Loyal
CUST00332,Customer 00332,Male,48,Kolkata,West Bengal,2022-04-22,Loyal
CUST00333,Customer 00333,Female,48,Ahmedabad,Gujarat,2025-07-11,VIP
