Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount_Rate,Gross_Amount,Discount_Amount,Net_Amount,Unit_Cost,Profit,PROFIT MARGIN
ITEM0000018,ORD000008,PROD0252,1,6415.03,0.10,6415.03,641.50,5773.53,4534.93,1238.60,21.45%
ITEM0000019,ORD000009,PROD0922,4,3588.78,0.00,14355.12,0.00,14355.12,2219.32,5477.84,38.16%
ITEM0000020,ORD000010,PROD0447,4,5147.45,0.15,20589.80,3088.47,17501.33,2467.84,7629.97,43.60%
ITEM0000021,ORD000010,PROD0652,4,4114.49,0.10,16457.96,1645.80,14812.16,3448.50,1018.16,6.87%
ITEM0000022,ORD000010,PROD0664,1,10169.41,0.00,10169.41,0.00,10169.41,4851.39,5318.02,52.29%
ITEM0000023,ORD000010,PROD0004,1,10240.09,0.05,10240.09,512.00,9728.09,4660.97,5067.12,52.09%
ITEM0000024,ORD000011,PROD0771,2,4430.96,0.10,8861.92,886.19,7975.73,3561.22,853.29,10.70%
ITEM0000025,ORD000012,PROD0313,3,5057.71,0.10,15173.13,1517.31,13655.82,3920.66,1893.84,13.87%
ITEM0000026,ORD000012,PROD0712,4,8049.16,0.00,32196.64,0.00,32196.64,3775.58,17094.32,53.09%
ITEM0000027,ORD000012,PROD0048,4,4717.92,0.05,18871.68,943.58,17928.10,2675.64,7225.54,40.30%
ITEM0000028,ORD000012,PROD0822,2,4476.81,0.20,8953.62,1790.72,7162.90,3240.16,682.58,9.53%
ITEM0000029,ORD000013,PROD0393,2,1060.51,0.05,2121.02,106.05,2014.97,745.16,524.65,26.04%
ITEM0000030,ORD000014,PROD0970,2,2677.41,0.05,5354.82,267.74,5087.08,1840.68,1405.72,27.63%
ITEM0000031,ORD000014,PROD0068,1,3975.87,0.10,3975.87,397.59,3578.28,1871.44,1706.84,47.70%
ITEM0000032,ORD000014,PROD0999,3,8971.95,0.10,26915.85,2691.58,24224.27,4183.33,11674.28,48.19%
ITEM0000033,ORD000015,PROD0921,3,1989.42,0.05,5968.26,298.41,5669.85,1163.45,2179.50,38.44%
ITEM0000034,ORD000015,PROD0130,2,8053.64,0.05,16107.28,805.36,15301.92,4119.94,7062.04,46.15%
ITEM0000035,ORD000015,PROD0237,3,3454.44,0.20,10363.32,2072.66,8290.66,1958.91,2413.93,29.12%
ITEM0000036,ORD000015,PROD0184,4,2191.55,0.00,8766.20,0.00,8766.20,1288.18,3613.48,41.22%
ITEM0000037,ORD000016,PROD0955,2,1024.06,0.00,2048.12,0.00,2048.12,599.55,849.02,41.45%
ITEM0000038,ORD000016,PROD0057,2,6625.83,0.10,13251.66,1325.17,11926.49,3263.55,5399.39,45.27%
ITEM0000039,ORD000017,PROD0115,4,1294.89,0.10,5179.56,517.96,4661.60,847.09,1273.24,27.31%
ITEM0000040,ORD000017,PROD0929,3,1986.40,0.00,5959.20,0.00,5959.20,920.66,3197.22,53.65%
ITEM0000041,ORD000017,PROD0956,1,10478.52,0.10,10478.52,1047.85,9430.67,4779.56,4651.11,49.32%
ITEM0000042,ORD000018,PROD0785,4,1977.72,0.10,7910.88,791.09,7119.79,1431.24,1394.83,19.59%
ITEM0000043,ORD000018,PROD0266,2,1382.19,0.10,2764.38,276.44,2487.94,796.84,894.26,35.94%
ITEM0000044,ORD000018,PROD0597,3,4410.80,0.15,13232.40,1984.86,11247.54,3218.04,1593.42,14.17%
ITEM0000045,ORD000019,PROD0394,1,6026.74,0.00,6026.74,0.00,6026.74,3482.95,2543.79,42.21%
ITEM0000046,ORD000020,PROD0770,1,4583.88,0.00,4583.88,0.00,4583.88,2838.53,1745.35,38.08%
ITEM0000047,ORD000020,PROD0451,1,2668.86,0.00,2668.86,0.00,2668.86,1682.40,986.46,36.96%
ITEM0000048,ORD000021,PROD0336,3,4667.59,0.15,14002.77,2100.42,11902.35,2447.56,4559.67,38.31%
ITEM0000049,ORD000022,PROD0437,4,6900.25,0.10,27601.00,2760.10,24840.90,3189.32,12083.62,48.64%
ITEM0000050,ORD000022,PROD0591,1,200.32,0.05,200.32,10.02,190.30,100.46,89.84,47.21%
ITEM0000051,ORD000022,PROD0458,2,6997.43,0.20,13994.86,2798.97,11195.89,4537.34,2121.21,18.95%
ITEM0000052,ORD000022,PROD0187,1,491.66,0.15,491.66,73.75,417.91,337.19,80.72,19.32%
ITEM0000053,ORD000022,PROD0389,4,5219.18,0.20,20876.72,4175.34,16701.38,4016.41,635.74,3.81%
ITEM0000054,ORD000023,PROD0586,1,984.64,0.15,984.64,147.70,836.94,502.84,334.10,39.92%
ITEM0000055,ORD000023,PROD0146,1,2825.32,0.00,2825.32,0.00,2825.32,1468.02,1357.30,48.04%
ITEM0000056,ORD000023,PROD0225,4,1388.34,0.05,5553.36,277.67,5275.69,1107.75,844.69,16.01%
ITEM0000057,ORD000024,PROD0985,3,3391.44,0.00,10174.32,0.00,10174.32,2896.18,1485.78,14.60%
ITEM0000058,ORD000024,PROD0655,1,3320.45,0.05,3320.45,166.02,3154.43,2671.53,482.90,15.31%
ITEM0000059,ORD000024,PROD0752,1,1069.28,0.00,1069.28,0.00,1069.28,552.46,516.82,48.33%
ITEM0000060,ORD000024,PROD0200,3,154.83,0.05,464.49,23.22,441.27,128.39,56.10,12.71%
ITEM0000061,ORD000025,PROD0587,4,4608.49,0.00,18433.96,0.00,18433.96,2907.63,6803.44,36.91%
ITEM0000062,ORD000025,PROD0983,3,4877.78,0.10,14633.34,1463.33,13170.01,3158.50,3694.51,28.05%
ITEM0000063,ORD000025,PROD0063,2,2129.08,0.10,4258.16,425.82,3832.34,1681.35,469.64,12.25%
ITEM0000064,ORD000025,PROD0929,4,1986.40,0.00,7945.60,0.00,7945.60,920.66,4262.96,53.65%
ITEM0000065,ORD000025,PROD0409,2,3986.01,0.15,7972.02,1195.80,6776.22,2545.41,1685.40,24.87%
ITEM0000066,ORD000026,PROD0115,2,1294.89,0.00,2589.78,0.00,2589.78,847.09,895.60,34.58%
ITEM0000067,ORD000027,PROD0342,1,1118.37,0.10,1118.37,111.84,1006.53,749.34,257.19,25.55%
ITEM0000068,ORD000028,PROD0802,3,6188.44,0.10,18565.32,1856.53,16708.79,2884.80,8054.39,48.20%
ITEM0000069,ORD000028,PROD0916,2,2304.24,0.15,4608.48,691.27,3917.21,1711.47,494.27,12.62%
ITEM0000070,ORD000029,PROD0595,1,7637.83,0.00,7637.83,0.00,7637.83,4536.61,3101.22,40.60%
ITEM0000071,ORD000030,PROD0583,1,4868.12,0.10,4868.12,486.81,4381.31,2277.65,2103.66,48.01%
ITEM0000072,ORD000031,PROD0506,2,6892.62,0.15,13785.24,2067.79,11717.45,4763.51,2190.43,18.69%
ITEM0000073,ORD000031,PROD0202,3,2212.01,0.05,6636.03,331.80,6304.23,1072.01,3088.20,48.99%
ITEM0000074,ORD000032,PROD0866,3,6021.60,0.00,18064.80,0.00,18064.80,3246.04,8326.68,46.09%
ITEM0000075,ORD000032,PROD0665,4,7550.58,0.10,30202.32,3020.23,27182.09,3680.95,12458.29,45.83%
ITEM0000076,ORD000032,PROD0647,2,4177.82,0.00,8355.64,0.00,8355.64,2948.61,2458.42,29.42%
ITEM0000077,ORD000033,PROD0304,2,3065.77,0.05,6131.54,306.58,5824.96,1469.46,2886.04,49.55%
ITEM0000078,ORD000033,PROD0746,2,4381.61,0.10,8763.22,876.32,7886.90,2220.70,3445.50,43.69%
ITEM0000079,ORD000033,PROD0994,4,5609.07,0.10,22436.28,2243.63,20192.65,2889.79,8633.49,42.76%
ITEM0000080,ORD000033,PROD0130,3,8053.64,0.20,24160.92,4832.18,19328.74,4119.94,6968.92,36.05%
ITEM0000081,ORD000034,PROD0588,3,3352.41,0.05,10057.23,502.86,9554.37,1646.69,4614.30,48.30%
ITEM0000082,ORD000034,PROD0131,1,3300.22,0.00,3300.22,0.00,3300.22,2575.18,725.04,21.97%
ITEM0000083,ORD000035,PROD0430,4,6052.46,0.05,24209.84,1210.49,22999.35,3076.49,10693.39,46.49%
ITEM0000084,ORD000036,PROD0188,1,1691.35,0.10,1691.35,169.14,1522.21,894.48,627.73,41.24%
ITEM0000085,ORD000037,PROD0681,2,2307.32,0.10,4614.64,461.46,4153.18,1671.47,810.24,19.51%
ITEM0000086,ORD000037,PROD0855,4,5277.80,0.20,21111.20,4222.24,16888.96,2842.42,5519.28,32.68%
ITEM0000087,ORD000038,PROD0798,4,1407.58,0.10,5630.32,563.03,5067.29,837.57,1717.01,33.88%
ITEM0000088,ORD000038,PROD0462,4,2582.15,0.00,10328.60,0.00,10328.60,1567.54,4058.44,39.29%
ITEM0000089,ORD000038,PROD0006,1,2207.38,0.05,2207.38,110.37,2097.01,1465.64,631.37,30.11%
ITEM0000090,ORD000039,PROD0713,1,902.71,0.10,902.71,90.27,812.44,448.73,363.71,44.77%
ITEM0000091,ORD000040,PROD0960,1,4070.41,0.20,4070.41,814.08,3256.33,2052.62,1203.71,36.97%
ITEM0000092,ORD000041,PROD0022,1,6447.77,0.00,6447.77,0.00,6447.77,3472.02,2975.75,46.15%
ITEM0000093,ORD000041,PROD0182,4,6588.50,0.05,26354.00,1317.70,25036.30,4646.51,6450.26,25.76%
ITEM0000094,ORD000042,PROD0289,3,4267.94,0.10,12803.82,1280.38,11523.44,2451.73,4168.25,36.17%
ITEM0000095,ORD000042,PROD0581,4,5967.99,0.15,23871.96,3580.79,20291.17,4186.48,3545.25,17.47%
ITEM0000096,ORD000043,PROD0378,1,1890.62,0.05,1890.62,94.53,1796.09,902.97,893.12,49.73%
ITEM0000097,ORD000043,PROD0061,1,755.74,0.00,755.74,0.00,755.74,509.89,245.85,32.53%
ITEM0000098,ORD000043,PROD0280,4,3068.17,0.00,12272.68,0.00,12272.68,1838.60,4918.28,40.08%
ITEM0000099,ORD000044,PROD0265,4,6151.31,0.10,24605.24,2460.52,22144.72,4389.86,4585.28,20.71%
ITEM0000100,ORD000044,PROD0426,2,6577.26,0.00,13154.52,0.00,13154.52,3247.61,6659.30,50.62%
ITEM0000101,ORD000045,PROD0656,4,861.03,0.00,3444.12,0.00,3444.12,422.60,1753.72,50.92%
ITEM0000102,ORD000045,PROD0612,3,8226.25,0.00,24678.75,0.00,24678.75,4442.70,11350.65,45.99%
ITEM0000103,ORD000046,PROD0996,1,1277.00,0.00,1277.00,0.00,1277.00,666.22,610.78,47.83%
ITEM0000104,ORD000047,PROD0570,3,2628.08,0.10,7884.24,788.42,7095.82,1227.54,3413.20,48.10%
ITEM0000105,ORD000048,PROD0010,1,8119.32,0.00,8119.32,0.00,8119.32,3813.71,4305.61,53.03%
ITEM0000106,ORD000048,PROD0819,2,7027.29,0.20,14054.58,2810.92,11243.66,3808.98,3625.70,32.25%
ITEM0000107,ORD000049,PROD0762,3,2830.45,0.10,8491.35,849.14,7642.21,1864.05,2050.06,26.83%
ITEM0000108,ORD000050,PROD0114,4,8578.67,0.00,34314.68,0.00,34314.68,4721.69,15427.92,44.96%
ITEM0000109,ORD000050,PROD0516,1,5202.27,0.10,5202.27,520.23,4682.04,4226.92,455.12,9.72%
ITEM0000110,ORD000051,PROD0979,2,1743.00,0.00,3486.00,0.00,3486.00,1438.93,608.14,17.45%
ITEM0000111,ORD000051,PROD0042,4,8954.68,0.15,35818.72,5372.81,30445.91,4204.73,13626.99,44.76%
ITEM0000112,ORD000052,PROD0335,2,2352.15,0.05,4704.30,235.22,4469.08,1798.44,872.20,19.52%
ITEM0000113,ORD000052,PROD0248,1,938.51,0.00,938.51,0.00,938.51,472.47,466.04,49.66%
ITEM0000114,ORD000052,PROD0752,3,1069.28,0.00,3207.84,0.00,3207.84,552.46,1550.46,48.33%
ITEM0000115,ORD000053,PROD0066,3,1211.91,0.05,3635.73,181.79,3453.94,1008.11,429.61,12.44%
ITEM0000116,ORD000053,PROD0037,4,1252.03,0.10,5008.12,500.81,4507.31,1080.74,184.35,4.09%
ITEM0000117,ORD000054,PROD0837,2,5023.84,0.05,10047.68,502.38,9545.30,4267.28,1010.74,10.59%
ITEM0000118,ORD000055,PROD0643,2,6451.01,0.00,12902.02,0.00,12902.02,4468.48,3965.06,30.73%
ITEM0000119,ORD000055,PROD0902,4,3811.87,0.00,15247.48,0.00,15247.48,1793.59,8073.12,52.95%
ITEM0000120,ORD000056,PROD0048,4,4717.92,0.10,18871.68,1887.17,16984.51,2675.64,6281.95,36.99%
ITEM0000121,ORD000057,PROD0486,1,2078.00,0.15,2078.00,311.70,1766.30,1717.46,48.84,2.77%
ITEM0000122,ORD000058,PROD0305,3,3751.10,0.10,11253.30,1125.33,10127.97,3061.83,942.48,9.31%
ITEM0000123,ORD000059,PROD0296,2,1994.47,0.05,3988.94,199.45,3789.49,1047.18,1695.13,44.73%
ITEM0000124,ORD000060,PROD0031,4,6034.81,0.00,24139.24,0.00,24139.24,4269.54,7061.08,29.25%
ITEM0000125,ORD000061,PROD0704,3,1652.17,0.15,4956.51,743.48,4213.03,976.46,1283.65,30.47%
ITEM0000126,ORD000061,PROD0702,3,8872.43,0.10,26617.29,2661.73,23955.56,4409.96,10725.68,44.77%
ITEM0000127,ORD000062,PROD0485,3,7614.12,0.00,22842.36,0.00,22842.36,4066.84,10641.84,46.59%
ITEM0000128,ORD000062,PROD0251,4,4444.31,0.10,17777.24,1777.72,15999.52,2841.77,4632.44,28.95%
ITEM0000129,ORD000063,PROD0232,3,5663.63,0.00,16990.89,0.00,16990.89,4454.51,3627.36,21.35%
ITEM0000130,ORD000063,PROD0056,1,3175.51,0.05,3175.51,158.78,3016.73,1463.47,1553.26,51.49%
ITEM0000131,ORD000064,PROD0998,3,2240.36,0.00,6721.08,0.00,6721.08,1300.45,2819.73,41.95%
ITEM0000132,ORD000065,PROD0057,4,6625.83,0.10,26503.32,2650.33,23852.99,3263.55,10798.79,45.27%
ITEM0000133,ORD000066,PROD0326,4,705.01,0.05,2820.04,141.00,2679.04,360.66,1236.40,46.15%
ITEM0000134,ORD000066,PROD0795,4,5064.94,0.00,20259.76,0.00,20259.76,3234.83,7320.44,36.13%
ITEM0000135,ORD000066,PROD0727,4,3808.38,0.05,15233.52,761.68,14471.84,1736.41,7526.20,52.01%
ITEM0000136,ORD000067,PROD0443,4,7750.00,0.05,31000.00,1550.00,29450.00,4447.01,11661.96,39.60%
ITEM0000137,ORD000067,PROD0460,1,7775.85,0.00,7775.85,0.00,7775.85,4164.36,3611.49,46.44%
ITEM0000138,ORD000067,PROD0910,4,5552.93,0.00,22211.72,0.00,22211.72,4809.21,2974.88,13.39%
ITEM0000139,ORD000067,PROD0779,3,6636.72,0.00,19910.16,0.00,19910.16,3154.89,10445.49,52.46%
ITEM0000140,ORD000068,PROD0962,4,8246.50,0.20,32986.00,6597.20,26388.80,4296.40,9203.20,34.88%
ITEM0000141,ORD000068,PROD0073,1,1357.15,0.00,1357.15,0.00,1357.15,693.32,663.83,48.91%
ITEM0000142,ORD000069,PROD0437,1,6900.25,0.00,6900.25,0.00,6900.25,3189.32,3710.93,53.78%
ITEM0000143,ORD000069,PROD0245,1,1238.11,0.10,1238.11,123.81,1114.30,706.08,408.22,36.63%
ITEM0000144,ORD000069,PROD0064,2,2499.39,0.00,4998.78,0.00,4998.78,2018.24,962.30,19.25%
ITEM0000145,ORD000069,PROD0684,4,8245.57,0.20,32982.28,6596.46,26385.82,4387.39,8836.26,33.49%
ITEM0000146,ORD000070,PROD0012,1,3482.03,0.00,3482.03,0.00,3482.03,2142.17,1339.86,38.48%
ITEM0000147,ORD000070,PROD0524,1,10374.30,0.00,10374.30,0.00,10374.30,4769.52,5604.78,54.03%
ITEM0000148,ORD000071,PROD0704,3,1652.17,0.10,4956.51,495.65,4460.86,976.46,1531.48,34.33%
ITEM0000149,ORD000072,PROD0026,1,6985.98,0.10,6985.98,698.60,6287.38,3260.08,3027.30,48.15%
ITEM0000150,ORD000072,PROD0929,4,1986.40,0.05,7945.60,397.28,7548.32,920.66,3865.68,51.21%
ITEM0000151,ORD000072,PROD0572,4,634.69,0.00,2538.76,0.00,2538.76,456.52,712.68,28.07%
ITEM0000152,ORD000073,PROD0696,1,6183.29,0.05,6183.29,309.16,5874.13,3046.20,2827.93,48.14%
ITEM0000153,ORD000073,PROD0248,1,938.51,0.00,938.51,0.00,938.51,472.47,466.04,49.66%
ITEM0000154,ORD000073,PROD0076,4,5742.62,0.05,22970.48,1148.52,21821.96,4224.22,4925.08,22.57%
ITEM0000155,ORD000074,PROD0128,1,8889.37,0.10,8889.37,888.94,8000.43,4605.25,3395.18,42.44%
ITEM0000156,ORD000075,PROD0935,2,8616.73,0.00,17233.46,0.00,17233.46,4084.37,9064.72,52.60%
ITEM0000157,ORD000076,PROD0552,4,7790.28,0.05,31161.12,1558.06,29603.06,4142.94,13031.30,44.02%
ITEM0000158,ORD000077,PROD0267,4,3245.50,0.00,12982.00,0.00,12982.00,2232.91,4050.36,31.20%
ITEM0000159,ORD000077,PROD0426,1,6577.26,0.00,6577.26,0.00,6577.26,3247.61,3329.65,50.62%
ITEM0000160,ORD000078,PROD0183,4,7633.77,0.10,30535.08,3053.51,27481.57,4574.39,9184.01,33.42%
ITEM0000161,ORD000078,PROD0094,1,5791.45,0.10,5791.45,579.14,5212.31,4764.49,447.82,8.59%
ITEM0000162,ORD000079,PROD0231,3,7460.43,0.05,22381.29,1119.06,21262.23,4624.50,7388.73,34.75%
ITEM0000163,ORD000079,PROD0295,4,3589.75,0.05,14359.00,717.95,13641.05,1720.02,6760.97,49.56%
ITEM0000164,ORD000080,PROD0856,3,6071.85,0.05,18215.55,910.78,17304.77,4260.40,4523.57,26.14%
ITEM0000165,ORD000081,PROD0238,3,2553.74,0.00,7661.22,0.00,7661.22,1306.99,3740.25,48.82%
ITEM0000166,ORD000082,PROD0987,3,4761.89,0.20,14285.67,2857.13,11428.54,2410.13,4198.15,36.73%
ITEM0000167,ORD000082,PROD0085,1,4989.62,0.00,4989.62,0.00,4989.62,4059.07,930.55,18.65%
ITEM0000168,ORD000083,PROD0901,4,4042.14,0.00,16168.56,0.00,16168.56,2718.83,5293.24,32.74%
ITEM0000169,ORD000083,PROD0891,4,7277.10,0.10,29108.40,2910.84,26197.56,3339.77,12838.48,49.01%
ITEM0000170,ORD000083,PROD0302,2,2844.96,0.10,5689.92,568.99,5120.93,1785.12,1550.69,30.28%
ITEM0000171,ORD000084,PROD0870,1,6215.89,0.10,6215.89,621.59,5594.30,3069.90,2524.40,45.12%
ITEM0000172,ORD000085,PROD0954,1,1004.77,0.00,1004.77,0.00,1004.77,772.37,232.40,23.13%
ITEM0000173,ORD000086,PROD0026,3,6985.98,0.00,20957.94,0.00,20957.94,3260.08,11177.70,53.33%
ITEM0000174,ORD000087,PROD0868,1,488.35,0.00,488.35,0.00,488.35,277.67,210.68,43.14%
ITEM0000175,ORD000087,PROD0494,1,2761.52,0.10,2761.52,276.15,2485.37,1333.86,1151.51,46.33%
ITEM0000176,ORD000087,PROD0334,4,1438.53,0.10,5754.12,575.41,5178.71,1103.19,765.95,14.79%
ITEM0000177,ORD000087,PROD0029,1,3711.62,0.20,3711.62,742.32,2969.30,2867.84,101.46,3.42%
ITEM0000178,ORD000088,PROD0759,4,8591.86,0.00,34367.44,0.00,34367.44,4303.31,17154.20,49.91%
ITEM0000179,ORD000088,PROD0328,1,1770.28,0.20,1770.28,354.06,1416.22,1043.76,372.46,26.30%
ITEM0000180,ORD000088,PROD0615,3,3976.78,0.00,11930.34,0.00,11930.34,3396.76,1740.06,14.59%
ITEM0000181,ORD000089,PROD0213,3,7975.55,0.00,23926.65,0.00,23926.65,3948.58,12080.91,50.49%
ITEM0000182,ORD000090,PROD0316,1,4608.10,0.00,4608.10,0.00,4608.10,2585.60,2022.50,43.89%
ITEM0000183,ORD000091,PROD0032,3,2511.42,0.05,7534.26,376.71,7157.55,1252.05,3401.40,47.52%
ITEM0000184,ORD000092,PROD0259,2,5978.61,0.15,11957.22,1793.58,10163.64,3256.93,3649.78,35.91%
ITEM0000185,ORD000093,PROD0385,1,3972.27,0.05,3972.27,198.61,3773.66,2105.45,1668.21,44.21%
ITEM0000186,ORD000094,PROD0863,2,6079.03,0.20,12158.06,2431.61,9726.45,4015.56,1695.33,17.43%
ITEM0000187,ORD000095,PROD0153,3,1750.12,0.00,5250.36,0.00,5250.36,866.85,2649.81,50.47%
ITEM0000188,ORD000095,PROD0402,4,1769.97,0.05,7079.88,353.99,6725.89,1008.39,2692.33,40.03%
ITEM0000189,ORD000096,PROD0228,4,894.64,0.05,3578.56,178.93,3399.63,718.29,526.47,15.49%
ITEM0000190,ORD000096,PROD0986,3,4207.04,0.10,12621.12,1262.11,11359.01,2600.82,3556.55,31.31%
ITEM0000191,ORD000097,PROD0791,4,8272.76,0.05,33091.04,1654.55,31436.49,4993.51,11462.45,36.46%
ITEM0000192,ORD000098,PROD0716,2,3488.09,0.05,6976.18,348.81,6627.37,2320.89,1985.59,29.96%
ITEM0000193,ORD000098,PROD0043,1,4609.44,0.00,4609.44,0.00,4609.44,2616.49,1992.95,43.24%
ITEM0000194,ORD000098,PROD0477,2,3990.65,0.00,7981.30,0.00,7981.30,2629.33,2722.64,34.11%
ITEM0000195,ORD000098,PROD0593,1,2111.08,0.05,2111.08,105.55,2005.53,1195.56,809.97,40.39%
ITEM0000196,ORD000099,PROD0327,1,277.82,0.15,277.82,41.67,236.15,157.61,78.54,33.26%
ITEM0000197,ORD000100,PROD0270,3,1591.87,0.20,4775.61,955.12,3820.49,724.98,1645.55,43.07%
ITEM0000198,ORD000100,PROD0433,2,2217.00,0.15,4434.00,665.10,3768.90,1337.73,1093.44,29.01%
ITEM0000199,ORD000100,PROD0497,4,1329.05,0.10,5316.20,531.62,4784.58,665.39,2123.02,44.37%
ITEM0000200,ORD000100,PROD0973,1,5440.57,0.05,5440.57,272.03,5168.54,2704.19,2464.35,47.68%
ITEM0000201,ORD000101,PROD0562,4,4567.68,0.00,18270.72,0.00,18270.72,2393.38,8697.20,47.60%
ITEM0000202,ORD000102,PROD0415,1,3910.58,0.10,3910.58,391.06,3519.52,2491.17,1028.35,29.22%
ITEM0000203,ORD000103,PROD0642,1,1943.87,0.00,1943.87,0.00,1943.87,1310.26,633.61,32.60%
ITEM0000204,ORD000103,PROD0347,4,7038.51,0.05,28154.04,1407.70,26746.34,3703.82,11931.06,44.61%
ITEM0000205,ORD000103,PROD0372,3,1145.25,0.05,3435.75,171.79,3263.96,951.12,410.60,12.58%
ITEM0000206,ORD000103,PROD0735,4,5584.75,0.15,22339.00,3350.85,18988.15,3734.36,4050.71,21.33%
ITEM0000207,ORD000104,PROD0062,3,3645.92,0.05,10937.76,546.89,10390.87,2025.40,4314.67,41.52%
ITEM0000208,ORD000104,PROD0796,1,242.84,0.00,242.84,0.00,242.84,146.68,96.16,39.60%
ITEM0000209,ORD000105,PROD0252,4,6415.03,0.00,25660.12,0.00,25660.12,4534.93,7520.40,29.31%
ITEM0000210,ORD000106,PROD0068,1,3975.87,0.05,3975.87,198.79,3777.08,1871.44,1905.64,50.45%
ITEM0000211,ORD000106,PROD0900,4,2118.16,0.05,8472.64,423.63,8049.01,1228.37,3135.53,38.96%
ITEM0000212,ORD000107,PROD0263,1,2488.73,0.00,2488.73,0.00,2488.73,1243.00,1245.73,50.05%
ITEM0000213,ORD000107,PROD0188,1,1691.35,0.05,1691.35,84.57,1606.78,894.48,712.30,44.33%
ITEM0000214,ORD000107,PROD0376,3,4097.54,0.00,12292.62,0.00,12292.62,2120.80,5930.22,48.24%
ITEM0000215,ORD000107,PROD0894,3,3847.02,0.00,11541.06,0.00,11541.06,2943.97,2709.15,23.47%
ITEM0000216,ORD000107,PROD0316,3,4608.10,0.05,13824.30,691.22,13133.08,2585.60,5376.28,40.94%
ITEM0000217,ORD000108,PROD0019,3,8602.81,0.05,25808.43,1290.42,24518.01,4877.58,9885.27,40.32%
ITEM0000218,ORD000108,PROD0396,4,228.70,0.15,914.80,137.22,777.58,172.42,87.90,11.30%
ITEM0000219,ORD000108,PROD0873,2,5450.36,0.05,10900.72,545.04,10355.68,3110.77,4134.14,39.92%
ITEM0000220,ORD000108,PROD0292,4,2084.79,0.15,8339.16,1250.87,7088.29,1084.91,2748.65,38.78%
ITEM0000221,ORD000109,PROD0697,1,449.25,0.15,449.25,67.39,381.86,226.90,154.96,40.58%
ITEM0000222,ORD000110,PROD0654,4,3571.15,0.15,14284.60,2142.69,12141.91,1985.10,4201.51,34.60%
ITEM0000223,ORD000111,PROD0310,2,2719.08,0.20,5438.16,1087.63,4350.53,2316.98,-283.43,-6.51%
ITEM0000224,ORD000111,PROD0754,3,5983.70,0.15,17951.10,2692.66,15258.44,3281.60,5413.64,35.48%
ITEM0000225,ORD000111,PROD0136,1,516.04,0.00,516.04,0.00,516.04,333.46,182.58,35.38%
ITEM0000226,ORD000112,PROD0962,3,8246.50,0.20,24739.50,4947.90,19791.60,4296.40,6902.40,34.88%
ITEM0000227,ORD000113,PROD0669,2,4902.90,0.10,9805.80,980.58,8825.22,2615.97,3593.28,40.72%
ITEM0000228,ORD000113,PROD0050,4,5880.55,0.05,23522.20,1176.11,22346.09,2999.76,10347.05,46.30%
ITEM0000229,ORD000114,PROD0611,1,5279.76,0.10,5279.76,527.98,4751.78,4561.15,190.63,4.01%
ITEM0000230,ORD000114,PROD0959,3,4673.56,0.05,14020.68,701.03,13319.65,2724.24,5146.93,38.64%
ITEM0000231,ORD000115,PROD0798,4,1407.58,0.15,5630.32,844.55,4785.77,837.57,1435.49,29.99%
