Return_ID,Order_ID,Return_Date,Return_Reason,Refund_Status,Refund_Amount,
RET00084,ORD028670,20-03-2024,Damaged,Refunded,2007,
RET00085,ORD011668,26-05-2024,Wrong Item,Refunded,4853,
RET00086,ORD001678,09-08-2024,Wrong Item,Refunded,36730,
RET00087,ORD012274,04-07-2025,Late Delivery,Refunded,11115,
RET00088,ORD001265,01-09-2025,Quality Issue,Refunded,6727,
RET00089,ORD027665,28-09-2024,Late Delivery,Refunded,9259,
RET00090,ORD013084,16-04-2026,Size/Fit Issue,Refunded,616,
RET00091,ORD010477,08-01-2025,Quality Issue,Refunded,28672,
RET00092,ORD012547,07-06-2026,Wrong Item,Refunded,15453,
RET00093,ORD015263,01-12-2024,Changed Mind,Refunded,5864,
RET00094,ORD024325,17-06-2025,Changed Mind,Refunded,17029,
RET00095,ORD009177,01-11-2025,Damaged,Processing,32282,
RET00096,ORD011164,11-01-2025,Size/Fit Issue,Refunded,44945,
RET00097,ORD008370,16-07-2026,Damaged,Refunded,21481,
RET00098,ORD017908,25-08-2025,Size/Fit Issue,Refunded,244,
RET00099,ORD008600,07-03-2024,Late Delivery,Refunded,32177,
RET00100,ORD004771,02-03-2025,Size/Fit Issue,Refunded,4731,
RET00101,ORD022657,15-02-2026,Size/Fit Issue,Refunded,4280,
RET00102,ORD028422,23-04-2026,Damaged,Refunded,3289,
RET00103,ORD018048,09-03-2024,Size/Fit Issue,Refunded,8519,
RET00104,ORD023126,20-02-2024,Changed Mind,Refunded,3318,
RET00105,ORD021989,14-01-2026,Size/Fit Issue,Refunded,14370,
RET00106,ORD010030,25-08-2026,Changed Mind,Refunded,12278,
RET00107,ORD015836,02-03-2026,Size/Fit Issue,Refunded,11342,
RET00108,ORD017292,19-03-2026,Damaged,Refunded,3632,
RET00109,ORD029567,11-03-2024,Size/Fit Issue,Refunded,9217,
RET00110,ORD014815,18-07-2024,Wrong Item,Refunded,44639,
RET00111,ORD019913,10-05-2024,Damaged,Refunded,14999,
RET00112,ORD004807,22-11-2025,Changed Mind,Refunded,16679,
RET00113,ORD018315,28-01-2026,Quality Issue,Refunded,28057,
RET00114,ORD024047,06-11-2025,Wrong Item,Refunded,33181,
RET00115,ORD003930,06-07-2026,Changed Mind,Refunded,11828,
RET00116,ORD027525,13-10-2024,Late Delivery,Refunded,329,
RET00117,ORD024716,09-11-2025,Quality Issue,Refunded,8604,
RET00118,ORD008693,30-05-2025,Size/Fit Issue,Refunded,2481,
RET00119,ORD002576,30-09-2024,Changed Mind,Refunded,8476,
RET00120,ORD028596,05-06-2024,Changed Mind,Refunded,62579,
RET00121,ORD000993,16-06-2026,Changed Mind,Refunded,21739,
RET00122,ORD004166,03-02-2024,Quality Issue,Refunded,7650,
RET00123,ORD002973,25-10-2024,Late Delivery,Refunded,44889,
RET00124,ORD003993,21-03-2026,Late Delivery,Refunded,1193,
RET00125,ORD014535,20-08-2024,Late Delivery,Processing,2665,
RET00126,ORD010020,11-09-2025,Late Delivery,Refunded,7241,
RET00127,ORD024860,27-08-2026,Wrong Item,Refunded,5310,
RET00128,ORD029640,04-03-2025,Size/Fit Issue,Refunded,9541,
RET00129,ORD012435,18-02-2026,Size/Fit Issue,Refunded,7394,
RET00130,ORD010678,16-10-2024,Damaged,Refunded,5935,
RET00131,ORD024218,26-11-2024,Changed Mind,Processing,7432,
RET00132,ORD007735,05-11-2024,Damaged,Refunded,23182,
RET00133,ORD018578,04-08-2025,Changed Mind,Refunded,19342,
RET00134,ORD020939,14-11-2025,Damaged,Refunded,20421,
RET00135,ORD022071,15-12-2024,Changed Mind,Refunded,28152,
RET00136,ORD007522,18-08-2026,Quality Issue,Refunded,2273,
RET00137,ORD006556,18-10-2024,Quality Issue,Refunded,10755,
RET00138,ORD008912,13-04-2025,Changed Mind,Refunded,30777,
RET00139,ORD022406,07-06-2026,Damaged,Refunded,67041,
RET00140,ORD000836,02-01-2025,Damaged,Refunded,5275,
RET00141,ORD002375,14-04-2025,Changed Mind,Refunded,19608,
RET00142,ORD027218,14-07-2026,Damaged,Processing,6811,
RET00143,ORD028073,12-09-2026,Size/Fit Issue,Processing,20198,
RET00144,ORD017016,19-04-2026,Damaged,Refunded,13925,
RET00145,ORD010445,19-07-2024,Size/Fit Issue,Refunded,29813,
RET00146,ORD000798,05-10-2025,Changed Mind,Refunded,22844,
RET00147,ORD011685,03-03-2026,Damaged,Refunded,40221,
RET00148,ORD004719,25-09-2024,Quality Issue,Refunded,27150,
RET00149,ORD011370,17-03-2024,Quality Issue,Refunded,19815,
RET00150,ORD024902,07-07-2025,Changed Mind,Refunded,21967,
RET00151,ORD004320,02-09-2026,Late Delivery,Refunded,9378,
RET00152,ORD015758,17-07-2026,Late Delivery,Refunded,8060,
RET00153,ORD013826,13-06-2024,Size/Fit Issue,Refunded,13806,
RET00154,ORD013755,06-01-2025,Quality Issue,Refunded,3356,
RET00155,ORD015360,12-05-2024,Changed Mind,Refunded,20816,
RET00156,ORD009460,30-06-2024,Changed Mind,Refunded,451,
RET00157,ORD021081,05-12-2024,Wrong Item,Refunded,19048,
RET00158,ORD000984,09-04-2024,Quality Issue,Refunded,9388,
RET00159,ORD025423,02-09-2025,Late Delivery,Refunded,2790,
RET00160,ORD009246,14-09-2025,Quality Issue,Refunded,18657,
RET00161,ORD024362,28-10-2025,Damaged,Refunded,7924,
RET00162,ORD029098,23-09-2024,Size/Fit Issue,Refunded,30269,
RET00163,ORD013042,23-08-2026,Size/Fit Issue,Refunded,8379,
RET00164,ORD009865,09-12-2025,Size/Fit Issue,Refunded,25454,
RET00165,ORD012503,06-12-2024,Changed Mind,Refunded,14614,
RET00166,ORD006710,12-06-2026,Wrong Item,Refunded,18678,
RET00167,ORD029392,03-02-2026,Quality Issue,Refunded,14732,
RET00168,ORD018514,02-04-2026,Size/Fit Issue,Processing,14049,
RET00169,ORD001161,30-07-2026,Wrong Item,Processing,27445,
RET00170,ORD021475,17-09-2026,Quality Issue,Refunded,22794,
RET00171,ORD002340,06-07-2024,Quality Issue,Refunded,15499,
RET00172,ORD014023,11-02-2026,Quality Issue,Refunded,19660,
RET00173,ORD026805,15-08-2025,Quality Issue,Refunded,14616,
RET00174,ORD027449,24-06-2026,Damaged,Refunded,18746,
RET00175,ORD015744,30-10-2024,Size/Fit Issue,Refunded,4945,
RET00176,ORD024178,13-06-2025,Quality Issue,Refunded,31232,
RET00177,ORD010003,15-07-2024,Quality Issue,Processing,4922,
RET00178,ORD000519,26-07-2024,Damaged,Refunded,4926,
RET00179,ORD014439,17-06-2024,Wrong Item,Processing,25107,
RET00180,ORD019882,07-05-2024,Size/Fit Issue,Refunded,39996,
RET00181,ORD020678,07-10-2024,Wrong Item,Refunded,21971,
RET00182,ORD018233,02-05-2026,Damaged,Refunded,6980,
RET00183,ORD010845,19-08-2025,Late Delivery,Refunded,15514,
RET00184,ORD004842,22-09-2025,Damaged,Refunded,14591,
RET00185,ORD017761,24-02-2025,Wrong Item,Refunded,9005,
RET00186,ORD010573,18-04-2024,Late Delivery,Refunded,2558,
RET00187,ORD026254,27-10-2025,Size/Fit Issue,Processing,6139,
RET00188,ORD001544,22-01-2025,Quality Issue,Refunded,38665,
RET00189,ORD026230,16-01-2025,Late Delivery,Refunded,9673,
RET00190,ORD026038,17-10-2024,Damaged,Refunded,44782,
RET00191,ORD011788,17-10-2025,Size/Fit Issue,Refunded,40136,
RET00192,ORD027408,14-07-2026,Damaged,Refunded,28258,
RET00193,ORD027445,26-10-2025,Size/Fit Issue,Refunded,8566,
RET00194,ORD009981,01-10-2025,Late Delivery,Refunded,7810,
RET00195,ORD009215,11-09-2026,Size/Fit Issue,Refunded,22096,
RET00196,ORD007103,17-10-2025,Wrong Item,Refunded,1700,
RET00197,ORD016949,10-04-2026,Wrong Item,Refunded,13124,
RET00198,ORD029981,10-09-2026,Quality Issue,Processing,12214,
RET00199,ORD005948,24-10-2025,Changed Mind,Refunded,3749,
RET00200,ORD003563,21-02-2024,Changed Mind,Refunded,4925,
RET00201,ORD001841,26-06-2026,Size/Fit Issue,Refunded,4548,
RET00202,ORD001102,07-05-2026,Size/Fit Issue,Refunded,23792,
RET00203,ORD009951,02-09-2026,Late Delivery,Refunded,18020,
RET00204,ORD009244,11-09-2026,Size/Fit Issue,Refunded,4387,
RET00205,ORD027355,01-01-2026,Late Delivery,Refunded,25653,
RET00206,ORD000810,06-07-2024,Size/Fit Issue,Refunded,20026,
RET00207,ORD000912,04-07-2024,Late Delivery,Refunded,26400,
RET00208,ORD010102,16-05-2026,Quality Issue,Refunded,11643,
RET00209,ORD002640,05-05-2026,Size/Fit Issue,Refunded,4043,
RET00210,ORD022502,19-05-2025,Size/Fit Issue,Refunded,13829,
RET00211,ORD022278,11-01-2026,Damaged,Refunded,6543,
RET00212,ORD000816,08-05-2025,Wrong Item,Refunded,5770,
RET00213,ORD016175,07-10-2025,Quality Issue,Refunded,16042,
RET00214,ORD006701,12-09-2025,Wrong Item,Refunded,22473,
RET00215,ORD005926,24-10-2024,Wrong Item,Refunded,41931,
RET00216,ORD001201,02-01-2025,Quality Issue,Processing,6107,
RET00217,ORD003024,13-03-2026,Changed Mind,Refunded,16114,
RET00218,ORD013404,03-11-2025,Changed Mind,Refunded,35766,
RET00219,ORD014937,12-06-2024,Size/Fit Issue,Refunded,31076,
RET00220,ORD013383,28-05-2025,Wrong Item,Refunded,4098,
RET00221,ORD021024,17-01-2026,Damaged,Refunded,3609,
RET00222,ORD029417,30-08-2026,Damaged,Refunded,4923,
RET00223,ORD027727,18-07-2024,Damaged,Refunded,5374,
RET00224,ORD001788,09-09-2025,Late Delivery,Refunded,33399,
RET00225,ORD011952,11-09-2026,Quality Issue,Refunded,10746,
RET00226,ORD022632,17-07-2026,Changed Mind,Refunded,46466,
RET00227,ORD018533,14-05-2025,Damaged,Refunded,18862,
RET00228,ORD022488,27-05-2025,Quality Issue,Refunded,38731,
RET00229,ORD011385,03-08-2024,Changed Mind,Processing,1141,
RET00230,ORD006929,25-11-2024,Quality Issue,Refunded,3001,
RET00231,ORD026468,02-03-2024,Damaged,Refunded,17160,
RET00232,ORD020762,29-02-2024,Changed Mind,Refunded,40388,
RET00233,ORD012981,23-07-2026,Quality Issue,Refunded,28776,
RET00234,ORD018595,18-01-2025,Changed Mind,Refunded,6163,
RET00235,ORD010814,11-12-2024,Size/Fit Issue,Refunded,16292,
RET00236,ORD004780,11-07-2024,Size/Fit Issue,Refunded,16627,
RET00237,ORD021448,07-12-2025,Changed Mind,Refunded,51366,
RET00238,ORD027755,03-05-2024,Size/Fit Issue,Refunded,16453,
RET00239,ORD013685,27-08-2024,Changed Mind,Refunded,3817,
RET00240,ORD013124,28-05-2025,Changed Mind,Refunded,38125,
RET00241,ORD024148,19-03-2024,Size/Fit Issue,Refunded,3606,
RET00242,ORD009299,02-03-2024,Size/Fit Issue,Refunded,2402,
RET00243,ORD006092,21-08-2025,Wrong Item,Refunded,2106,
RET00244,ORD009675,08-06-2024,Changed Mind,Refunded,6420,
RET00245,ORD010096,07-07-2025,Changed Mind,Refunded,30203,
RET00246,ORD028485,12-09-2026,Size/Fit Issue,Refunded,20498,
RET00247,ORD020178,11-02-2025,Size/Fit Issue,Refunded,14872,
RET00248,ORD003068,25-02-2026,Damaged,Refunded,20746,
RET00249,ORD012190,19-03-2026,Quality Issue,Processing,43720,
RET00250,ORD023611,18-04-2024,Wrong Item,Refunded,13423,
RET00251,ORD001296,28-08-2024,Quality Issue,Refunded,7524,
RET00252,ORD021446,11-01-2025,Damaged,Refunded,34729,
RET00253,ORD012447,25-06-2025,Changed Mind,Refunded,3016,
RET00254,ORD020206,19-10-2025,Wrong Item,Refunded,6116,
RET00255,ORD006577,28-08-2024,Damaged,Refunded,24655,
RET00256,ORD006051,18-10-2025,Size/Fit Issue,Refunded,20758,
RET00257,ORD013608,08-04-2025,Damaged,Refunded,14456,
RET00258,ORD022541,03-07-2024,Changed Mind,Refunded,24886,
RET00259,ORD022267,19-01-2026,Quality Issue,Processing,17460,
RET00260,ORD022515,20-01-2024,Quality Issue,Refunded,4613,
RET00261,ORD004620,03-10-2025,Damaged,Refunded,16109,
RET00262,ORD000750,22-07-2026,Changed Mind,Refunded,21403,
RET00263,ORD022639,14-08-2024,Changed Mind,Processing,18687,
RET00264,ORD012652,24-01-2026,Size/Fit Issue,Refunded,27511,
RET00265,ORD001827,23-06-2024,Wrong Item,Processing,1240,
RET00266,ORD008176,19-09-2026,Late Delivery,Processing,6015,
RET00267,ORD000940,02-09-2025,Quality Issue,Refunded,2205,
RET00268,ORD007542,17-09-2024,Damaged,Refunded,32776,
RET00269,ORD024901,06-11-2025,Damaged,Refunded,23303,
RET00270,ORD023421,22-12-2024,Changed Mind,Processing,11102,
RET00271,ORD016407,15-04-2024,Changed Mind,Refunded,30066,
RET00272,ORD015910,10-04-2025,Size/Fit Issue,Refunded,29218,
RET00273,ORD005261,26-12-2024,Changed Mind,Refunded,44381,
RET00274,ORD021925,10-04-2025,Changed Mind,Refunded,12071,
RET00275,ORD018611,03-06-2026,Changed Mind,Processing,4003,
RET00276,ORD017634,19-10-2024,Wrong Item,Refunded,25650,
RET00277,ORD025525,13-10-2025,Quality Issue,Refunded,3409,
RET00278,ORD027041,08-09-2026,Quality Issue,Refunded,32017,
RET00279,ORD026182,16-06-2025,Late Delivery,Refunded,10309,
RET00280,ORD018357,13-05-2026,Changed Mind,Refunded,21136,
RET00281,ORD014142,17-06-2026,Changed Mind,Processing,12200,
RET00282,ORD025421,17-05-2025,Changed Mind,Refunded,16529,
RET00283,ORD001513,24-09-2025,Wrong Item,Refunded,21438,
RET00284,ORD017516,01-06-2026,Damaged,Processing,19710,
RET00285,ORD000927,22-07-2025,Changed Mind,Processing,13555,
RET00286,ORD013598,02-10-2024,Changed Mind,Refunded,925,
RET00287,ORD000501,21-12-2025,Damaged,Refunded,26648,
RET00288,ORD026878,30-12-2025,Quality Issue,Refunded,24804,
RET00289,ORD020162,03-04-2026,Changed Mind,Processing,38881,
RET00290,ORD027688,22-07-2024,Changed Mind,Refunded,15557,
RET00291,ORD028956,10-03-2025,Size/Fit Issue,Refunded,14075,
RET00292,ORD028768,23-05-2026,Late Delivery,Refunded,46364,
RET00293,ORD004711,10-02-2024,Size/Fit Issue,Refunded,9529,
RET00294,ORD000179,05-10-2024,Changed Mind,Refunded,28701,
RET00295,ORD028714,25-10-2025,Late Delivery,Refunded,20529,
RET00296,ORD026408,14-03-2026,Late Delivery,Refunded,28053,
RET00297,ORD018408,07-11-2024,Changed Mind,Refunded,44048,
RET00298,ORD021994,30-03-2025,Size/Fit Issue,Refunded,23928,
RET00299,ORD023873,19-08-2025,Quality Issue,Refunded,2391,
RET00300,ORD000114,22-08-2024,Quality Issue,Refunded,17168,
RET00301,ORD010513,28-11-2025,Size/Fit Issue,Processing,5804,
RET00302,ORD028374,01-12-2024,Quality Issue,Refunded,23548,
RET00303,ORD014966,15-08-2026,Size/Fit Issue,Refunded,31652,
RET00304,ORD019177,10-11-2024,Damaged,Refunded,13649,
RET00305,ORD001523,09-03-2025,Changed Mind,Refunded,5591,
RET00306,ORD023171,05-12-2025,Size/Fit Issue,Processing,12728,
RET00307,ORD021790,08-04-2026,Quality Issue,Refunded,28613,
RET00308,ORD022068,27-07-2025,Changed Mind,Refunded,10775,
RET00309,ORD015386,12-09-2025,Changed Mind,Processing,4832,
RET00310,ORD019886,09-09-2026,Damaged,Processing,36991,
RET00311,ORD000847,25-05-2026,Quality Issue,Processing,27738,
RET00312,ORD000006,22-01-2026,Size/Fit Issue,Refunded,28101,
RET00313,ORD004502,02-02-2026,Changed Mind,Refunded,7896,
RET00314,ORD018634,17-08-2025,Damaged,Refunded,988,
RET00315,ORD018459,14-03-2026,Changed Mind,Refunded,3547,
RET00316,ORD016808,08-07-2026,Size/Fit Issue,Refunded,1492,
RET00317,ORD012291,30-05-2024,Wrong Item,Processing,1723,
RET00318,ORD007365,06-01-2025,Late Delivery,Refunded,26446,
RET00319,ORD029247,11-04-2025,Late Delivery,Refunded,9416,
RET00320,ORD019639,23-11-2025,Damaged,Refunded,11347,
RET00321,ORD017758,10-09-2024,Wrong Item,Refunded,6004,
RET00322,ORD002168,21-07-2025,Quality Issue,Refunded,31203,
RET00323,ORD023594,23-04-2026,Changed Mind,Refunded,11024,
RET00324,ORD000898,31-05-2026,Wrong Item,Refunded,26199,
RET00325,ORD006474,24-03-2025,Damaged,Refunded,2377,
RET00326,ORD027527,18-07-2024,Quality Issue,Refunded,19231,
RET00327,ORD013015,06-09-2024,Wrong Item,Refunded,24643,
RET00328,ORD017896,17-01-2024,Quality Issue,Refunded,21150,
RET00329,ORD025279,14-09-2024,Quality Issue,Processing,21973,
RET00330,ORD025281,28-06-2025,Late Delivery,Refunded,7800,
RET00331,ORD021804,23-05-2024,Size/Fit Issue,Refunded,1757,
RET00332,ORD020927,28-04-2025,Quality Issue,Refunded,10150,
RET00333,ORD008010,18-07-2025,Changed Mind,Refunded,25918,
RET00334,ORD020515,01-10-2025,Wrong Item,Processing,2708,
RET00335,ORD009094,22-04-2026,Changed Mind,Refunded,24336,
RET00336,ORD007018,22-03-2024,Quality Issue,Refunded,18642,
RET00337,ORD022537,29-02-2024,Wrong Item,Refunded,32086,
RET00338,ORD001140,03-11-2024,Size/Fit Issue,Refunded,5261,
RET00339,ORD026492,17-05-2024,Changed Mind,Refunded,1333,
RET00340,ORD001986,25-06-2024,Damaged,Processing,53653,
RET00341,ORD017673,12-05-2024,Changed Mind,Processing,6760,
RET00342,ORD009583,10-05-2026,Damaged,Refunded,11737,
RET00343,ORD013151,16-04-2026,Size/Fit Issue,Refunded,20985,
RET00344,ORD004513,26-02-2024,Changed Mind,Refunded,7701,
RET00345,ORD009898,08-10-2025,Quality Issue,Refunded,2117,
RET00346,ORD005924,09-07-2025,Size/Fit Issue,Refunded,15535,
RET00347,ORD007855,27-07-2024,Wrong Item,Refunded,18827,
RET00348,ORD001531,15-04-2024,Size/Fit Issue,Refunded,20571,
RET00349,ORD004197,04-05-2024,Changed Mind,Refunded,24667,
RET00350,ORD029998,02-08-2026,Quality Issue,Refunded,17365,
RET00351,ORD007238,06-04-2025,Quality Issue,Refunded,21271,
RET00352,ORD027446,18-02-2025,Size/Fit Issue,Refunded,5829,
RET00353,ORD028338,20-04-2026,Changed Mind,Refunded,27900,
RET00354,ORD004094,23-06-2025,Size/Fit Issue,Refunded,3710,
RET00355,ORD004355,12-04-2025,Wrong Item,Refunded,30388,
RET00356,ORD023415,06-06-2026,Late Delivery,Refunded,13320,
RET00357,ORD021791,23-04-2024,Damaged,Refunded,5294,
RET00358,ORD007134,13-09-2025,Size/Fit Issue,Refunded,10510,
RET00359,ORD003493,22-07-2024,Size/Fit Issue,Refunded,6978,
RET00360,ORD022726,14-07-2025,Changed Mind,Refunded,19254,
RET00361,ORD020847,23-08-2024,Changed Mind,Refunded,25859,
RET00362,ORD029520,11-04-2024,Changed Mind,Refunded,12622,
RET00363,ORD005153,21-06-2024,Late Delivery,Processing,22216,
RET00364,ORD025899,17-07-2024,Quality Issue,Processing,6733,
RET00365,ORD027827,10-10-2024,Size/Fit Issue,Refunded,15655,
RET00366,ORD017060,07-12-2025,Late Delivery,Refunded,17559,
RET00367,ORD007283,23-05-2024,Quality Issue,Refunded,29278,
RET00368,ORD023754,01-03-2025,Changed Mind,Refunded,23043,
RET00369,ORD011353,01-04-2026,Damaged,Refunded,7899,
RET00370,ORD005293,03-12-2024,Size/Fit Issue,Refunded,21954,
RET00371,ORD019460,17-06-2026,Wrong Item,Refunded,48445,
RET00372,ORD020866,07-02-2024,Changed Mind,Refunded,13443,
RET00373,ORD028207,09-04-2026,Wrong Item,Refunded,4309,
RET00374,ORD006242,01-09-2025,Wrong Item,Refunded,3502,
RET00375,ORD026586,06-02-2026,Quality Issue,Refunded,4145,
RET00376,ORD027837,21-08-2024,Changed Mind,Refunded,4116,
RET00377,ORD004124,05-06-2024,Changed Mind,Refunded,7542,
RET00378,ORD007731,16-03-2025,Size/Fit Issue,Processing,2248,
RET00379,ORD014509,21-05-2024,Damaged,Refunded,2819,
RET00380,ORD013297,30-01-2024,Wrong Item,Refunded,12891,
RET00381,ORD014063,31-08-2025,Wrong Item,Refunded,29298,
RET00382,ORD014938,18-01-2025,Size/Fit Issue,Refunded,48240,
RET00383,ORD001677,03-08-2024,Damaged,Refunded,47723,
RET00384,ORD023514,03-11-2025,Changed Mind,Refunded,5705,
RET00385,ORD021583,25-08-2024,Quality Issue,Refunded,27691,
RET00386,ORD007920,15-05-2024,Wrong Item,Refunded,2221,
RET00387,ORD028855,24-03-2024,Changed Mind,Refunded,6096,
RET00388,ORD019254,24-03-2026,Size/Fit Issue,Refunded,16636,
RET00389,ORD009674,20-08-2024,Size/Fit Issue,Refunded,1038,
RET00390,ORD004786,18-05-2026,Damaged,Processing,7413,
RET00391,ORD013534,07-11-2024,Wrong Item,Refunded,25651,
RET00392,ORD022646,02-02-2026,Damaged,Refunded,9102,
RET00393,ORD024658,01-07-2026,Size/Fit Issue,Refunded,338,
RET00394,ORD029749,15-04-2024,Quality Issue,Refunded,7548,
RET00395,ORD028762,01-12-2025,Damaged,Refunded,36693,
RET00396,ORD025323,08-08-2024,Wrong Item,Refunded,1029,
RET00397,ORD009346,16-10-2025,Late Delivery,Refunded,25053,
RET00398,ORD025584,21-03-2025,Changed Mind,Refunded,9664,
RET00399,ORD014259,22-01-2026,Quality Issue,Refunded,2648,
RET00400,ORD027314,05-07-2026,Quality Issue,Refunded,14287,
RET00401,ORD029312,16-05-2024,Changed Mind,Refunded,18594,
RET00402,ORD002187,17-11-2025,Size/Fit Issue,Processing,4949,
RET00403,ORD001609,24-03-2025,Late Delivery,Refunded,18496,
RET00404,ORD022234,14-09-2025,Late Delivery,Refunded,22647,
RET00405,ORD012454,23-04-2024,Quality Issue,Refunded,15184,
RET00406,ORD001196,03-09-2025,Damaged,Refunded,33390,
RET00407,ORD022740,21-02-2025,Size/Fit Issue,Refunded,4092,
